iter	R2	RMSE
0	0.08466067168	0.791024449
1	0.1615652516	0.7570655429
2	0.2303057084	0.7253673083
3	0.2945943381	0.6944137572
4	0.3526689127	0.6652150673
5	0.4055854719	0.6374462247
6	0.4530929383	0.6114424842
7	0.4972314842	0.586250036
8	0.5373547372	0.5623709847
9	0.5763585649	0.5381434528
10	0.6109124369	0.5157301486
11	0.6412966638	0.4951839429
12	0.6718791471	0.4736044359
13	0.6988898806	0.4536924176
14	0.7238239108	0.4345021035
15	0.7468514512	0.415993521
16	0.7665695339	0.3994639703
17	0.7859940927	0.3824826383
18	0.8033617254	0.3666341148
19	0.8182906517	0.352441857
20	0.8323592336	0.3385233768
21	0.8459966079	0.3244621106
22	0.8571318172	0.3125119336
23	0.8679279524	0.300472203
24	0.877219086	0.2897105273
25	0.8861793324	0.2789391093
26	0.8947133974	0.2682782109
27	0.9025823525	0.2580582004
28	0.9098522045	0.2482426513
29	0.9163398611	0.239143255
30	0.9226427107	0.2299585
31	0.9278600337	0.2220684253
32	0.9331007601	0.2138500899
33	0.9375671559	0.2065881494
34	0.9415816895	0.1998358223
35	0.9451315691	0.1936690026
36	0.9487511761	0.1871719639
37	0.9517745794	0.1815669748
38	0.9546066509	0.1761549935
39	0.9574179851	0.1706129332
40	0.9598719979	0.1656237503
41	0.9621523708	0.1608489334
42	0.9640112208	0.1568492344
43	0.9659435273	0.152580375
44	0.9677452644	0.1484894466
45	0.9694467298	0.1445199144
46	0.9709822118	0.1408416159
47	0.9722939893	0.1376213597
48	0.9734238854	0.1347859394
49	0.9746197921	0.131718396
50	0.975702034	0.128879489
51	0.9767497555	0.1260702483
52	0.9775857728	0.123782922
53	0.9784615535	0.1213405708
54	0.979260673	0.119068306
55	0.9799321016	0.1171250509
56	0.9805674186	0.1152561461
57	0.9811070398	0.1136446122
58	0.9816690207	0.1119416434
59	0.9822299098	0.1102157503
60	0.9826824765	0.1088032175
61	0.9831436411	0.1073447307
62	0.9835637322	0.1059986783
63	0.9838715428	0.1050014407
64	0.9842062198	0.1039063024
65	0.9845475331	0.1027774308
66	0.9848308982	0.1018307115
67	0.9851717915	0.1006799955
68	0.9854728912	0.09965255555
69	0.9856507201	0.09904074517
70	0.9858623464	0.09830769496
71	0.9861050586	0.0974601792
72	0.9862865032	0.09682175483
73	0.9864745107	0.09615576751
74	0.986695209	0.09536804383
75	0.9868431369	0.09483639214
